DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,Gender,Personality,Meta
vampires,2.102623442,-2.262939163,0.649319349,-0.21640028,0.116174847,0.166023174,-0.297172952,0.087501464,0.024326316,0.114687941,0.006701641,-0.120368114,-0.064787586,-0.031380726,0.008218984,0.014877784,0.017392813,-0.017707411,0.006008147,None,None,None
cats,6.667743263,-1.269546611,-1.373360347,0.516193303,0.362996067,-0.005945946,0.099372305,0.133434874,0.12838702,0.062336938,-0.018505192,-0.002026004,-0.057325715,0.119420797,-0.001398029,-0.032318681,0.034413921,0.009872441,0.005794828,None,Conscientiousness,Stability
summer,-1.296079782,0.282628504,-0.8903242,-0.671528046,0.183328031,-0.375304894,0.026156306,0.099045267,0.09764136,-0.036568045,-0.108879082,-0.007304865,0.01837162,-0.11882794,0.008987611,-0.013701578,-0.031791695,-0.028160701,-0.013647429,None,None,None
camping,-2.777152069,-0.924129858,-0.269042563,1.155643452,-0.032707226,0.160637462,0.110685545,-0.127059326,-0.078623434,-0.006412097,-0.102125396,-0.052015426,0.037438952,-0.019704982,0.007251844,-0.014458573,0.004968428,-0.011890792,0.009991594,None,None,None
food,-0.486712865,1.617572498,-1.154629871,-0.131473423,0.578958916,0.333822568,0.195071737,0.044936208,0.128415839,-0.043128094,-0.079601356,0.072562674,0.083232935,0.009546575,-0.015804833,0.031285675,0.02943992,0.002000562,0.007221263,None,None,None
basketball,-7.632979834,-0.453729848,0.050886925,0.012991595,0.408762241,-0.104966633,0.094315445,0.03731029,-0.178382918,0.009507688,0.037906544,0.016372471,-0.032804218,0.033706745,0.021301929,-0.025821371,-0.003240167,0.032529818,-0.005926641,Male,None,None
reading,5.032576507,4.300263508,1.010211257,1.398964351,0.252723935,-0.432333496,-0.230438355,0.180669611,-0.236970692,-0.161476699,-0.020488294,0.071933117,0.06392663,0.049390897,0.034511281,-0.003860809,-0.014422384,-0.026966083,-0.011375923,None,Extraversion,Plasticity
movies,0.218610842,8.17905753,0.684619416,0.491635789,0.12929441,0.237315642,0.032836499,-0.156114357,-0.13778623,0.067545796,-0.032522787,0.0213515,0.000672607,-0.090044598,0.021688941,0.034334493,0.000175591,0.029191933,0.005986012,None,Conscientiousness,Stability
concerts,-0.682306956,0.862453154,0.700168004,-0.371240015,-0.588111164,-0.26025757,0.15603918,-0.123220987,-0.241997803,0.004989461,0.010908169,-0.056357167,0.025949668,0.067228887,0.03562703,0.004477209,-0.009086286,0.009248858,-0.027702732,None,None,None
girls,-3.058471259,-1.605458975,-0.490180766,-0.610199787,0.053519632,0.531209382,0.154524024,0.039082568,-0.094248261,0.04202739,0.056550336,0.017319059,0.038374883,-0.004247297,-0.002234932,0.019936689,0.005470566,-0.019385775,0.010826441,Female,None,None
poetry,2.325996931,1.524993964,0.524087592,0.148631578,-0.818719679,0.152829107,-0.106678618,-0.148460457,-0.008168701,-0.109457648,0.054428121,-0.1815874,-0.035081212,0.004141141,0.001241702,-0.018168522,0.003647402,0.011502799,0.00279212,None,Openness to Exp.,Plasticity
the used,-2.859809342,0.643184334,-0.190364238,-0.740965573,-0.501845005,-0.108288167,-0.06384677,-0.100158604,0.100964575,0.068942368,0.013134174,0.165849868,-0.037382464,0.039667343,0.024191554,-0.006677523,-0.008083525,-0.027859162,0.011828194,None,None,None
family,-2.63304014,-1.11547439,-0.545469879,-0.165585744,0.461342166,-0.171962384,0.450731302,0.128937052,-0.276351213,-0.131719181,-0.008320214,-0.169887326,-0.041495637,-0.026634632,0.018784793,0.024252897,0.039473844,-0.028211525,-0.007427745,Female,None,None
rain,2.828412493,0.928660567,-0.687447548,-0.246429049,-0.344974425,-0.424035103,0.085525348,-0.149683493,0.055666028,0.101376901,-0.031851644,-0.080714228,0.024553404,0.030081174,-0.023823761,0.030509858,-0.022899917,0.033887372,0.015471795,None,None,None
family guy,0.076744083,0.334581622,-0.272080788,0.207963037,-0.288643716,-0.331114673,0.012909855,-0.103594483,-0.105988749,-0.017916768,-0.059722967,0.016319615,0.047307918,-0.033827302,0.020531889,-0.018091471,0.006401763,-0.029759278,0.011459177,None,None,None
taking back sunday,-1.901790538,1.640123352,-0.827177782,-1.056433034,-0.571022976,-0.165774656,-0.091485672,-0.243867475,0.130867183,-0.040648539,0.051040563,0.221636419,0.006378123,0.03126605,0.051535228,0.012251296,0.02730911,-0.007760498,0.006765606,None,None,None
stars,1.793714324,1.195667676,-0.695287521,-0.605942765,-0.438914743,-0.260561969,-0.31765476,-0.166947531,0.097517431,-0.004243877,-0.006561551,-0.013908284,0.03426532,0.046220895,-0.042442515,0.012711178,0.018029542,0.031589412,0.000530264,None,None,None
photography,8.544002419,1.355480764,-0.59045327,-0.220502772,-0.786344282,0.08202948,0.317525865,0.211823556,0.008539293,-0.020143592,0.056354665,0.064535254,0.014990384,-0.046721066,0.018005294,-0.035617201,0.003771772,0.047572646,-0.001044337,None,None,None
cooking,3.588380211,-1.541930907,-1.273787395,1.086657301,0.440666848,0.20944271,0.066140636,0.162887159,0.048603816,0.023226449,-0.156813791,0.038192881,0.115473994,0.041518691,0.01804107,0.022707837,0.011366568,-0.003381154,-0.021607651,None,None,None
computers,-1.130113559,1.789381551,-0.430784049,0.796250942,0.406752329,0.480039475,-0.121775328,0.127606928,0.276929771,0.051602303,0.174935997,-0.014854785,0.006709185,0.007934971,0.029077278,-0.01460892,-0.035964639,0.010925747,0.000484771,Male,Extraversion,Plasticity
laughing,-0.427511268,1.967254439,-0.788600352,-0.220923196,-0.057118666,-0.201378485,-0.129742857,-0.103172186,0.011772903,0.05554724,-0.051820826,-0.012690096,-0.008139621,-0.041964651,-0.031818312,-0.004178391,-0.03077157,-0.017318337,-0.004145881,None,Agreeableness,Stability
sleeping,0.404237608,3.262728992,-0.534791837,-0.066717703,0.008043783,-0.502460816,0.265599785,-0.093492764,-0.097233302,0.090018597,0.007497325,0.040794657,-0.006682514,-0.001649586,-0.037597967,-0.027404709,-0.01953885,-0.01630984,-0.006783178,None,Neuroticism,Stability
tattoos,4.537539952,-0.655709283,-0.307006402,0.027131918,-0.906655928,0.226062912,0.034633101,0.272030416,-0.096510499,0.24752501,0.028557465,0.002101667,0.059812124,0.031967554,0.029382494,0.000264755,0.049302301,-0.014051928,-0.017763246,None,None,None
